gene_symbol	hgnc_id	mgi_id	disorder_id	disorder_name	IMPC_pipeline	IMPC_phenotypes	HPO_phenotypes	PhenoDigm_match	max_score
HDAC3	HGNC:4854	MGI:1343091	-	-	yes	no	no	no	NA
HDAC4	HGNC:14063	MGI:3036234	OMIM:619797|ORPHA:1001	Neurodevelopmental Disorder With Central Hypotonia And Dysmorphic Facies|2Q37 Microdeletion Syndrome	yes	yes	yes	no	NA
HDAC5	HGNC:14068	MGI:1333784	-	-	no	no	no	no	NA
HDAC6	HGNC:14064	MGI:1333752	OMIM:300863|ORPHA:163966	Chondrodysplasia With Platyspondyly, Distinctive Brachydactyly, Hydrocephaly, And Microphthalmia|X-Linked Dominant Chondrodysplasia, Chassaing-Lacombe Type	no	no	no	no	NA
HDAC7	HGNC:14067	MGI:1891835	-	-	yes	no	no	no	NA
HDAC8	HGNC:13315	MGI:1917565	OMIM:300882|ORPHA:199|ORPHA:3459	Cornelia De Lange Syndrome 5|Cornelia De Lange Syndrome|Wilson-Turner Syndrome	yes	yes	yes	yes	20.375
HDAC9	HGNC:14065	MGI:1931221	OMIM:620457	Auriculocondylar Syndrome 4	no	no	no	no	NA
HDC	HGNC:4855	MGI:96062	OMIM:137580|ORPHA:856	Gilles De La Tourette Syndrome|Non Rare In Europe: Tourette Syndrome	no	no	no	no	NA
HDDC2	HGNC:21078	MGI:1916942	-	-	yes	no	no	no	NA
HDDC3	HGNC:30522	MGI:1915945	-	-	yes	no	no	no	NA
HDGF	HGNC:4856	MGI:1194494	-	-	no	no	no	no	NA
HDGFL1	HGNC:21095	MGI:1194493	-	-	yes	no	no	no	NA
HDGFL2	HGNC:14680	MGI:1194492	-	-	yes	no	no	no	NA
HDGFL3	HGNC:24937	MGI:1352760	-	-	yes	no	no	no	NA
HDHD2	HGNC:25364	MGI:1924237	-	-	no	no	no	no	NA
HDHD3	HGNC:28171	MGI:1919998	-	-	no	no	no	no	NA
HDHD5	HGNC:1843	MGI:2136976	-	-	no	no	no	no	NA
HDLBP	HGNC:4857	MGI:99256	-	-	yes	no	no	no	NA
HDX	HGNC:26411	MGI:2685226	-	-	no	no	no	no	NA
HEATR1	HGNC:25517	MGI:2442524	-	-	no	no	no	no	NA
HEATR3	HGNC:26087	MGI:2444491	OMIM:620072|ORPHA:124	Diamond-Blackfan Anemia 21|Diamond-Blackfan Anemia	no	no	no	no	NA
HEATR4	HGNC:16761	MGI:4937307	-	-	no	no	no	no	NA
HEATR5A	HGNC:20276	MGI:2444133	-	-	no	no	no	no	NA
HEATR5B	HGNC:29273	MGI:2444098	-	-	no	no	no	no	NA
HEATR6	HGNC:24076	MGI:1919790	-	-	no	no	no	no	NA
HEATR9	HGNC:26548	MGI:3650286	-	-	no	no	no	no	NA
HEBP1	HGNC:17176	MGI:1333880	-	-	yes	no	no	no	NA
HEBP2	HGNC:15716	MGI:1860084	-	-	no	no	no	no	NA
HECA	HGNC:21041	MGI:2685715	-	-	yes	no	no	no	NA
HECTD1	HGNC:20157	MGI:2384768	-	-	yes	no	no	no	NA
HECTD2	HGNC:26736	MGI:2442663	-	-	yes	no	no	no	NA
HECTD3	HGNC:26117	MGI:1923858	-	-	yes	no	no	no	NA
HECTD4	HGNC:26611	MGI:3647820	OMIM:620250	Neurodevelopmental Disorder With Seizures, Spasticity, And Complete Or Partial Agenesis Of The Corpus Callosum	yes	yes	yes	no	NA
HECW1	HGNC:22195	MGI:2444115	-	-	yes	no	no	no	NA
HECW2	HGNC:29853	MGI:2685817	OMIM:617268	Neurodevelopmental Disorder With Hypotonia, Seizures, And Absent Language	yes	yes	yes	no	NA
HEG1	HGNC:29227	MGI:1924696	-	-	yes	no	no	no	NA
HELB	HGNC:17196	MGI:2152895	-	-	no	no	no	no	NA
HELLS	HGNC:4861	MGI:106209	OMIM:616911|ORPHA:2268	Immunodeficiency-Centromeric Instability-Facial Anomalies Syndrome 4|Icf Syndrome	yes	yes	yes	yes	31.19
HELQ	HGNC:18536	MGI:2176740	-	-	yes	no	no	no	NA
HELT	HGNC:33783	MGI:3040955	-	-	no	no	no	no	NA
HELZ	HGNC:16878	MGI:1925705	-	-	yes	no	no	no	NA
HELZ2	HGNC:30021	MGI:2385169	-	-	no	no	no	no	NA
HEMGN	HGNC:17509	MGI:2136910	-	-	yes	no	no	no	NA
HEMK1	HGNC:24923	MGI:1916786	-	-	yes	no	no	no	NA
HENMT1	HGNC:26400	MGI:1913965	-	-	no	no	no	no	NA
HEPACAM	HGNC:26361	MGI:1920177	OMIM:613925|OMIM:613926|ORPHA:210548|ORPHA:2478	Megalencephalic Leukoencephalopathy With Subcortical Cysts 2A|Megalencephalic Leukoencephalopathy With Subcortical Cysts 2B, Remitting, With Or Without Impaired Intellectual Development|Macrocephaly-Intellectual Disability-Autism Syndrome|Megalencephalic Leukoencephalopathy With Subcortical Cysts	no	no	no	no	NA
HEPACAM2	HGNC:27364	MGI:2141520	-	-	yes	no	no	no	NA
HEPH	HGNC:4866	MGI:1332240	-	-	yes	no	no	no	NA
HEPHL1	HGNC:30477	MGI:2685355	OMIM:261990	Abnormal Hair, Joint Laxity, And Developmental Delay	no	no	no	no	NA
HERC1	HGNC:4867	MGI:2384589	OMIM:617011|ORPHA:457359	Macrocephaly, Dysmorphic Facies, And Psychomotor Retardation|Megalencephaly-Severe Kyphoscoliosis-Overgrowth Syndrome	yes	yes	yes	yes	36.8
HERC2	HGNC:4868	MGI:103234	OMIM:615516|OMIM:227220|ORPHA:329195	Intellectual Developmental Disorder, Autosomal Recessive 38|Skin/Hair/Eye Pigmentation, Variation In, 1|Developmental Delay With Autism Spectrum Disorder And Gait Instability	no	no	no	no	NA
HERC3	HGNC:4876	MGI:1921248	-	-	yes	no	no	no	NA
HERC4	HGNC:24521	MGI:1914595	-	-	yes	no	no	no	NA
HERC6	HGNC:26072	MGI:1914388	-	-	yes	no	no	no	NA
HERPUD1	HGNC:13744	MGI:1927406	-	-	no	no	no	no	NA
HERPUD2	HGNC:21915	MGI:1915393	-	-	yes	no	no	no	NA
HES1	HGNC:5192	MGI:104853	-	-	no	no	no	no	NA
HES2	HGNC:16005	MGI:1098624	-	-	no	no	no	no	NA
HES3	HGNC:26226	MGI:104877	-	-	no	no	no	no	NA
HES5	HGNC:19764	MGI:104876	-	-	no	no	no	no	NA
HES6	HGNC:18254	MGI:1859852	-	-	no	no	no	no	NA
HES7	HGNC:15977	MGI:2135679	OMIM:613686|ORPHA:2311	Spondylocostal Dysostosis 4, Autosomal Recessive|Autosomal Recessive Spondylocostal Dysostosis	no	no	no	no	NA
HESX1	HGNC:4877	MGI:96071	OMIM:182230|ORPHA:3157|ORPHA:478|ORPHA:226307|ORPHA:95496|ORPHA:95494	Septooptic Dysplasia|Septo-Optic Dysplasia Spectrum|Kallmann Syndrome|Hypothyroidism Due To Deficient Transcription Factors Involved In Pituitary Development Or Function|Pituitary Stalk Interruption Syndrome|Combined Pituitary Hormone Deficiencies, Genetic Forms	yes	yes	yes	yes	40.93
HEXA	HGNC:4878	MGI:96073	OMIM:272800|ORPHA:309185|ORPHA:309178|ORPHA:309239|ORPHA:309192	Tay-Sachs Disease|Tay-Sachs Disease, B Variant, Juvenile Form|Tay-Sachs Disease, B Variant, Infantile Form|Tay-Sachs Disease, B1 Variant|Tay-Sachs Disease, B Variant, Adult Form	no	no	no	no	NA
HEXB	HGNC:4879	MGI:96074	OMIM:268800|ORPHA:309155|ORPHA:309169|ORPHA:309162	Sandhoff Disease|Sandhoff Disease, Infantile Form|Sandhoff Disease, Adult Form|Sandhoff Disease, Juvenile Form	yes	yes	yes	yes	72.04
HEXD	HGNC:26307	MGI:3605542	-	-	no	no	no	no	NA
HEXIM1	HGNC:24953	MGI:2385923	-	-	no	no	no	no	NA
HEXIM2	HGNC:28591	MGI:1918309	-	-	no	no	no	no	NA
HEY1	HGNC:4880	MGI:1341800	-	-	no	no	no	no	NA
HEY2	HGNC:4881	MGI:1341884	ORPHA:91387	Familial Thoracic Aortic Aneurysm And Aortic Dissection	no	no	no	no	NA
HEYL	HGNC:4882	MGI:1860511	-	-	yes	no	no	no	NA
HFE	HGNC:4886	MGI:109191	OMIM:235200|ORPHA:586|ORPHA:139498|ORPHA:465508|ORPHA:443057|ORPHA:443062|ORPHA:648581	Hemochromatosis, Type 1|Cystic Fibrosis|Non Rare In Europe: Hemochromatosis Type 1|Symptomatic Form Of Hfe-Related Hemochromatosis|Sporadic Porphyria Cutanea Tarda|Familial Porphyria Cutanea Tarda|Digenic Hemochromatosis	no	no	no	no	NA
HFM1	HGNC:20193	MGI:3036246	OMIM:615724|ORPHA:619	Premature Ovarian Failure 9|Non Rare In Europe: Primary Ovarian Failure	no	no	no	no	NA
HGD	HGNC:4892	MGI:96078	OMIM:203500|ORPHA:56	Alkaptonuria	yes	no	yes	no	NA
HGF	HGNC:4893	MGI:96079	OMIM:608265|ORPHA:90636	Deafness, Autosomal Recessive 39|Rare Autosomal Recessive Non-Syndromic Sensorineural Deafness Type Dfnb	no	no	no	no	NA
HGFAC	HGNC:4894	MGI:1859281	-	-	no	no	no	no	NA
HGH1	HGNC:24161	MGI:1930628	-	-	no	no	no	no	NA
HGS	HGNC:4897	MGI:104681	-	-	yes	no	no	no	NA
HGSNAT	HGNC:26527	MGI:1196297	OMIM:252930|OMIM:616544|ORPHA:791|ORPHA:79271	Mucopolysaccharidosis, Type Iiic|Retinitis Pigmentosa 73|Retinitis Pigmentosa|Sanfilippo Syndrome Type C	yes	yes	yes	yes	33.395
HHAT	HGNC:18270	MGI:2444681	OMIM:600092|ORPHA:1422	Nivelon-Nivelon-Mabille Syndrome|Chondrodysplasia-Difference Of Sex Development Syndrome	no	no	no	no	NA
HHATL	HGNC:13242	MGI:1922020	-	-	yes	no	no	no	NA
HHEX	HGNC:4901	MGI:96086	-	-	no	no	no	no	NA
HHIP	HGNC:14866	MGI:1341847	-	-	yes	no	no	no	NA
HHIPL1	HGNC:19710	MGI:1919265	-	-	yes	no	no	no	NA
HHIPL2	HGNC:25842	MGI:1926022	-	-	no	no	no	no	NA
HHLA1	HGNC:4904	MGI:3615329	-	-	no	no	no	no	NA
HIBADH	HGNC:4907	MGI:1889802	-	-	yes	no	no	no	NA
HIBCH	HGNC:4908	MGI:1923792	OMIM:250620|ORPHA:88639	3-Hydroxyisobutyryl-Coa Hydrolase Deficiency|Neurodegeneration Due To 3-Hydroxyisobutyryl-Coa Hydrolase Deficiency	yes	yes	yes	yes	12.345
HIC1	HGNC:4909	MGI:1338010	ORPHA:531	Miller-Dieker Syndrome	no	no	no	no	NA
HIC2	HGNC:18595	MGI:1929869	-	-	no	no	no	no	NA
HID1	HGNC:15736	MGI:2445087	OMIM:619983	Developmental And Epileptic Encephalopathy 105 With Hypopituitarism	no	no	no	no	NA
HIF1A	HGNC:4910	MGI:106918	-	-	no	no	no	no	NA
HIF1AN	HGNC:17113	MGI:2442345	-	-	yes	no	no	no	NA
HIF3A	HGNC:15825	MGI:1859778	-	-	no	no	no	no	NA
HIGD1A	HGNC:29527	MGI:1930666	-	-	no	no	no	no	NA
HIGD1B	HGNC:24318	MGI:1922939	-	-	no	no	no	no	NA
HIGD1C	HGNC:28044	MGI:2685767	-	-	no	no	no	no	NA
HIKESHI	HGNC:26938	MGI:96738	OMIM:616881|ORPHA:495844	Leukodystrophy, Hypomyelinating, 13|C11Orf73-Related Autosomal Recessive Hypomyelinating Leukodystrophy	yes	yes	yes	no	NA
HILPDA	HGNC:28859	MGI:1916823	-	-	yes	no	no	no	NA
HINFP	HGNC:17850	MGI:2429620	-	-	no	no	no	no	NA
HINT1	HGNC:4912	MGI:1321133	OMIM:137200|ORPHA:324442	Neuromyotonia And Axonal Neuropathy, Autosomal Recessive|Autosomal Recessive Axonal Neuropathy With Neuromyotonia	yes	yes	yes	yes	36.65
HINT2	HGNC:18344	MGI:1916167	-	-	no	no	no	no	NA
HINT3	HGNC:18468	MGI:1914097	-	-	no	no	no	no	NA
HIP1	HGNC:4913	MGI:1099804	-	-	yes	no	no	no	NA
HIP1R	HGNC:18415	MGI:1352504	-	-	yes	no	no	no	NA
HIPK1	HGNC:19006	MGI:1314873	-	-	no	no	no	no	NA
HIPK2	HGNC:14402	MGI:1314872	-	-	yes	no	no	no	NA
HIPK3	HGNC:4915	MGI:1314882	-	-	yes	no	no	no	NA
HIPK4	HGNC:19007	MGI:2685008	-	-	yes	no	no	no	NA
HIRA	HGNC:4916	MGI:99430	ORPHA:567	22Q11.2 Deletion Syndrome	yes	yes	yes	yes	19.785
HIRIP3	HGNC:4917	MGI:2142364	-	-	yes	no	no	no	NA
HIVEP1	HGNC:4920	MGI:96100	-	-	yes	no	no	no	NA
HIVEP2	HGNC:4921	MGI:1338076	OMIM:616977|ORPHA:178469	Intellectual Developmental Disorder, Autosomal Dominant 43|Autosomal Dominant Non-Syndromic Intellectual Disability	no	no	no	no	NA
HIVEP3	HGNC:13561	MGI:106589	-	-	no	no	no	no	NA
HJURP	HGNC:25444	MGI:2685821	-	-	no	no	no	no	NA
HJV	HGNC:4887	MGI:1916835	OMIM:602390|ORPHA:79230|ORPHA:648581	Hemochromatosis, Type 2A|Hjv Or Hamp-Related Hemochromatosis|Digenic Hemochromatosis	yes	yes	yes	yes	49.835
HK1	HGNC:4922	MGI:96103	OMIM:235700|OMIM:618547|OMIM:605285|OMIM:617460|ORPHA:90031|ORPHA:99953	Hemolytic Anemia, Nonspherocytic, Due To Hexokinase Deficiency|Neurodevelopmental Disorder With Visual Defects And Brain Anomalies|Neuropathy, Hereditary Motor And Sensory, Russe Type|Retinitis Pigmentosa 79|Non-Spherocytic Hemolytic Anemia Due To Hexokinase Deficiency|Charcot-Marie-Tooth Disease Type 4G	no	no	no	no	NA
HK2	HGNC:4923	MGI:1315197	-	-	no	no	no	no	NA
HK3	HGNC:4925	MGI:2670962	-	-	yes	no	no	no	NA
HKDC1	HGNC:23302	MGI:2384910	OMIM:619614	Retinitis Pigmentosa 92	yes	yes	yes	no	NA
HLA-DMA	HGNC:4934	MGI:95921	-	-	no	no	no	no	NA
HLA-DOA	HGNC:4936	MGI:95924	-	-	no	no	no	no	NA
HLA-DOB	HGNC:4937	MGI:95925	-	-	no	no	no	no	NA
HLCS	HGNC:4976	MGI:894646	OMIM:253270|ORPHA:79242	Holocarboxylase Synthetase Deficiency	yes	yes	yes	yes	21.575
HLF	HGNC:4977	MGI:96108	ORPHA:641375	B-Lymphoblastic Leukemia/Lymphoma With T(17;19)	no	no	no	no	NA
HLTF	HGNC:11099	MGI:1196437	-	-	yes	no	no	no	NA
HLX	HGNC:4978	MGI:96109	ORPHA:527468	Diaphragmatic Hernia-Short Bowel-Asplenia Syndrome	no	no	no	no	NA
HM13	HGNC:16435	MGI:95886	-	-	yes	no	no	no	NA
HMBOX1	HGNC:26137	MGI:2445066	-	-	yes	no	no	no	NA
HMBS	HGNC:4982	MGI:96112	OMIM:176000|ORPHA:79276	Porphyria, Acute Intermittent|Acute Intermittent Porphyria	yes	yes	yes	yes	26.77
HMCES	HGNC:24446	MGI:1914053	-	-	no	no	no	no	NA
HMCN1	HGNC:19194	MGI:2685047	OMIM:603075|ORPHA:279	Macular Degeneration, Age-Related, 1|Non Rare In Europe: Age-Related Macular Degeneration	yes	yes	yes	yes	40.265
HMCN2	HGNC:21293	MGI:2677838	-	-	yes	no	no	no	NA
HMG20A	HGNC:5001	MGI:1914117	-	-	yes	no	no	no	NA
HMG20B	HGNC:5002	MGI:1341190	-	-	no	no	no	no	NA
HMGA1	HGNC:5010	MGI:96160	OMIM:125853	Type 2 Diabetes Mellitus	yes	yes	yes	no	NA
HMGA2	HGNC:5009	MGI:101761	OMIM:618908|ORPHA:454821|ORPHA:397590|ORPHA:94063|ORPHA:99971|ORPHA:99970	Silver-Russell Syndrome 5|Pleomorphic Salivary Gland Adenoma|Silver-Russell Syndrome Due To A Point Mutation|12Q14 Microdeletion Syndrome|Well-Differentiated Liposarcoma|Dedifferentiated Liposarcoma	no	no	no	no	NA
HMGB1	HGNC:4983	MGI:96113	-	-	no	no	no	no	NA
HMGB2	HGNC:5000	MGI:96157	-	-	no	no	no	no	NA
HMGB3	HGNC:5004	MGI:1098219	OMIM:300915	Microphthalmia, Syndromic 13	no	no	no	no	NA
HMGB4	HGNC:24954	MGI:1916567	-	-	yes	no	no	no	NA
HMGCL	HGNC:5005	MGI:96158	OMIM:246450|ORPHA:20	3-Hydroxy-3-Methylglutaryl-Coa Lyase Deficiency|3-Hydroxy-3-Methylglutaric Aciduria	no	no	no	no	NA
HMGCLL1	HGNC:21359	MGI:2446108	-	-	no	no	no	no	NA
HMGCR	HGNC:5006	MGI:96159	OMIM:620375|OMIM:620410	Muscular Dystrophy, Limb-Girdle, Autosomal Recessive 28|Low Density Lipoprotein Cholesterol Level Quantitative Trait Locus 3	no	no	no	no	NA
HMGCS1	HGNC:5007	MGI:107592	-	-	yes	no	no	no	NA
HMGCS2	HGNC:5008	MGI:101939	OMIM:605911|ORPHA:35701	3-Hydroxy-3-Methylglutaryl-Coa Synthase-2 Deficiency|3-Hydroxy-3-Methylglutaryl-Coa Synthase Deficiency	yes	no	yes	no	NA
HMGN1	HGNC:4984	MGI:96120	-	-	yes	no	no	no	NA
HMGN2	HGNC:4986	MGI:96136	-	-	yes	no	no	no	NA
HMGN3	HGNC:12312	MGI:2138069	-	-	no	no	no	no	NA
HMGN5	HGNC:8013	MGI:1355295	-	-	no	no	no	no	NA
HMGXB3	HGNC:28982	MGI:2441817	-	-	yes	no	no	no	NA
HMGXB4	HGNC:5003	MGI:1918073	-	-	no	no	no	no	NA
HMMR	HGNC:5012	MGI:104667	OMIM:114480	Breast Cancer	yes	yes	yes	no	NA
HMOX1	HGNC:5013	MGI:96163	OMIM:606963|OMIM:614034|ORPHA:586|ORPHA:562509	Pulmonary Disease, Chronic Obstructive|Heme Oxygenase 1 Deficiency|Cystic Fibrosis|Heme Oxygenase-1 Deficiency	yes	yes	yes	yes	31.025
HMOX2	HGNC:5014	MGI:109373	-	-	yes	no	no	no	NA
HMX1	HGNC:5017	MGI:107178	OMIM:612109|ORPHA:157962	Oculoauricular Syndrome|Oculoauricular Syndrome, Schorderet Type	no	no	no	no	NA
HMX2	HGNC:5018	MGI:107159	-	-	yes	no	no	no	NA
HMX3	HGNC:5019	MGI:107160	-	-	yes	no	no	no	NA
HNF1A	HGNC:11621	MGI:98504	OMIM:144700|OMIM:612520|OMIM:125853|OMIM:142330|OMIM:600496|OMIM:222100|ORPHA:324575|ORPHA:319303|ORPHA:404511|ORPHA:552	Renal Cell Carcinoma, Nonpapillary|Type 1 Diabetes Mellitus 20|Type 2 Diabetes Mellitus|Hepatic Adenomas, Familial|Maturity-Onset Diabetes Of The Young, Type 3|Type 1 Diabetes Mellitus|Hyperinsulinism Due To Hnf1A Deficiency|Chromophobe Renal Cell Carcinoma|Clear Cell Papillary Renal Cell Carcinoma|Mody	no	no	no	no	NA
HNF1B	HGNC:11630	MGI:98505	OMIM:144700|OMIM:125853|OMIM:137920|ORPHA:1331|ORPHA:2578|ORPHA:261265|ORPHA:1309|ORPHA:93111|ORPHA:93172|ORPHA:93173|ORPHA:97363|ORPHA:97364	Renal Cell Carcinoma, Nonpapillary|Type 2 Diabetes Mellitus|Renal Cysts And Diabetes Syndrome|Familial Prostate Cancer|Mayer-Rokitansky-Küster-Hauser Syndrome Type 2|17Q12 Microdeletion Syndrome|Medullary Sponge Kidney|Hnf1B-Related Autosomal Dominant Tubulointerstitial Kidney Disease|Renal Dysplasia, Unilateral|Renal Dysplasia, Bilateral|Unilateral Multicystic Dysplastic Kidney|Bilateral Multicystic Dysplastic Kidney	no	no	no	no	NA
HNF4A	HGNC:5024	MGI:109128	OMIM:125853|OMIM:616026|OMIM:125850|ORPHA:263455|ORPHA:552|ORPHA:544628	Type 2 Diabetes Mellitus|Fanconi Renotubular Syndrome 4 With Maturity-Onset Diabetes Of The Young|Maturity-Onset Diabetes Of The Young, Type 1|Congenital Hyperinsulinism Due To Hnf4A Deficiency|Mody|Atypical Fanconi Syndrome-Neonatal Hyperinsulinism Syndrome	yes	yes	yes	yes	80.025
HNF4G	HGNC:5026	MGI:1353604	-	-	yes	no	no	no	NA
HNMT	HGNC:5028	MGI:2153181	OMIM:616739|OMIM:600807|ORPHA:88616	Intellectual Developmental Disorder, Autosomal Recessive 51|Asthma, Susceptibility To|Autosomal Recessive Non-Syndromic Intellectual Disability	no	no	no	no	NA
HNRNPA0	HGNC:5030	MGI:1924384	-	-	no	no	no	no	NA
HNRNPA1	HGNC:5031	MGI:104820	OMIM:615424|OMIM:610099|OMIM:615426|ORPHA:803|ORPHA:52430	Inclusion Body Myopathy With Early-Onset Paget Disease With Or Without Frontotemporal Dementia 3|Myopathy, Distal, 3|Amyotrophic Lateral Sclerosis 20|Amyotrophic Lateral Sclerosis|Inclusion Body Myopathy With Paget Disease Of Bone And Frontotemporal Dementia	no	no	no	no	NA
HNRNPA2B1	HGNC:5033	MGI:104819	OMIM:615422|OMIM:620460|ORPHA:52430	Inclusion Body Myopathy With Early-Onset Paget Disease With Or Without Frontotemporal Dementia 2|Oculopharyngeal Muscular Dystrophy 2|Inclusion Body Myopathy With Paget Disease Of Bone And Frontotemporal Dementia	no	no	no	no	NA
HNRNPA3	HGNC:24941	MGI:1917171	-	-	no	no	no	no	NA
HNRNPAB	HGNC:5034	MGI:1330294	-	-	yes	no	no	no	NA
HNRNPD	HGNC:5036	MGI:101947	-	-	yes	no	no	no	NA
HNRNPDL	HGNC:5037	MGI:1355299	OMIM:609115|ORPHA:55596	Muscular Dystrophy, Limb-Girdle, Autosomal Dominant 3|Hnrnpdl-Related Limb-Girdle Muscular Dystrophy D3	yes	yes	yes	no	NA
HNRNPF	HGNC:5039	MGI:2138741	-	-	no	no	no	no	NA
HNRNPH1	HGNC:5041	MGI:1891925	OMIM:620083|ORPHA:99861	Neurodevelopmental Disorder With Craniofacial Dysmorphism And Skeletal Defects|Precursor T-Cell Acute Lymphoblastic Leukemia	yes	yes	yes	no	NA
HNRNPH2	HGNC:5042	MGI:1201779	OMIM:300986	Intellectual Developmental Disorder, X-Linked, Syndromic, Bain Type	yes	yes	yes	yes	31.74
HNRNPH3	HGNC:5043	MGI:1926462	-	-	no	no	no	no	NA
HNRNPK	HGNC:5044	MGI:99894	OMIM:616580|ORPHA:352665|ORPHA:453504	Au-Kline Syndrome|Neurodevelopmental Disorder-Craniofacial Dysmorphism-Cardiac Defect-Skeletal Anomalies Syndrome Due To 9Q21.3 Microdeletion|Neurodevelopmental Disorder-Craniofacial Dysmorphism-Cardiac Defect-Skeletal Anomalies Syndrome Due To A Point Mutation	no	no	no	no	NA
HNRNPL	HGNC:5045	MGI:104816	-	-	no	no	no	no	NA
HNRNPLL	HGNC:25127	MGI:1919942	-	-	no	no	no	no	NA
HNRNPM	HGNC:5046	MGI:1926465	-	-	yes	no	no	no	NA
HNRNPR	HGNC:5047	MGI:1891692	OMIM:620073	Neurodevelopmental Disorder With Dysmorphic Facies And Skeletal And Brain Abnormalities	yes	yes	yes	yes	23.96
HNRNPU	HGNC:5048	MGI:1858195	OMIM:617391|ORPHA:238769	Developmental And Epileptic Encephalopathy 54|1Q44 Microdeletion Syndrome	no	no	no	no	NA
HNRNPUL1	HGNC:17011	MGI:2443517	-	-	no	no	no	no	NA
HNRNPUL2	HGNC:25451	MGI:1915943	-	-	yes	no	no	no	NA
HOATZ	HGNC:25061	MGI:1921013	-	-	no	no	no	no	NA
HOGA1	HGNC:25155	MGI:1914682	OMIM:613616|ORPHA:93600	Hyperoxaluria, Primary, Type Iii|Primary Hyperoxaluria Type 3	yes	yes	yes	no	NA
HOMER1	HGNC:17512	MGI:1347345	-	-	no	no	no	no	NA
HOMER2	HGNC:17513	MGI:1347354	OMIM:616707|ORPHA:90635	Deafness, Autosomal Dominant 68|Rare Autosomal Dominant Non-Syndromic Sensorineural Deafness Type Dfna	yes	yes	yes	yes	35.585
HOMER3	HGNC:17514	MGI:1347359	-	-	no	no	no	no	NA
HOMEZ	HGNC:20164	MGI:2678023	-	-	yes	no	no	no	NA
HOOK1	HGNC:19884	MGI:1925213	-	-	yes	no	no	no	NA
HOOK2	HGNC:19885	MGI:2181664	-	-	yes	no	no	no	NA
HOOK3	HGNC:23576	MGI:2443554	-	-	yes	no	no	no	NA
HOPX	HGNC:24961	MGI:1916782	-	-	no	no	no	no	NA
HORMAD1	HGNC:25245	MGI:1915231	-	-	no	no	no	no	NA
HORMAD2	HGNC:28383	MGI:1923078	-	-	no	no	no	no	NA
HOXA1	HGNC:5099	MGI:96170	OMIM:601536|ORPHA:69737|ORPHA:69739	Athabaskan Brainstem Dysgenesis Syndrome|Bosley-Salih-Alorainy Syndrome	no	no	no	no	NA
HOXA10	HGNC:5100	MGI:96171	-	-	yes	no	no	no	NA
HOXA11	HGNC:5101	MGI:96172	OMIM:605432|ORPHA:71289	Radioulnar Synostosis With Amegakaryocytic Thrombocytopenia 1|Radio-Ulnar Synostosis-Amegakaryocytic Thrombocytopenia Syndrome	no	no	no	no	NA
HOXA13	HGNC:5102	MGI:96173	OMIM:176305|OMIM:140000|ORPHA:2438|ORPHA:2957	Preaxial Deficiency, Postaxial Polydactyly, And Hypospadias|Hand-Foot-Genital Syndrome|Guttmacher Syndrome	no	no	no	no	NA
HOXA2	HGNC:5103	MGI:96174	OMIM:612290|ORPHA:140963|ORPHA:83463	Microtia, Hearing Impairment, And Cleft Palate|Bilateral Microtia-Deafness-Cleft Palate Syndrome|Microtia	yes	yes	yes	yes	21.91
HOXA3	HGNC:5104	MGI:96175	-	-	no	no	no	no	NA
HOXA4	HGNC:5105	MGI:96176	-	-	yes	no	no	no	NA
HOXA5	HGNC:5106	MGI:96177	-	-	no	no	no	no	NA
HOXA6	HGNC:5107	MGI:96178	-	-	no	no	no	no	NA
HOXA7	HGNC:5108	MGI:96179	-	-	no	no	no	no	NA
HOXA9	HGNC:5109	MGI:96180	-	-	no	no	no	no	NA
HOXB1	HGNC:5111	MGI:96182	OMIM:614744|ORPHA:306530	Facial Paresis, Hereditary Congenital, 3|Congenital Hereditary Facial Paralysis-Variable Hearing Loss Syndrome	no	no	no	no	NA
HOXB13	HGNC:5112	MGI:107730	OMIM:610997|ORPHA:1331	Prostate Cancer, Hereditary, 9|Familial Prostate Cancer	yes	yes	no	no	NA
HOXB2	HGNC:5113	MGI:96183	-	-	no	no	no	no	NA
HOXB3	HGNC:5114	MGI:96184	-	-	no	no	no	no	NA
HOXB4	HGNC:5115	MGI:96185	-	-	no	no	no	no	NA
HOXB5	HGNC:5116	MGI:96186	-	-	no	no	no	no	NA
HOXB6	HGNC:5117	MGI:96187	-	-	no	no	no	no	NA
HOXB7	HGNC:5118	MGI:96188	-	-	no	no	no	no	NA
HOXB8	HGNC:5119	MGI:96189	-	-	no	no	no	no	NA
HOXB9	HGNC:5120	MGI:96190	-	-	no	no	no	no	NA
HOXC10	HGNC:5122	MGI:96192	-	-	no	no	no	no	NA
HOXC11	HGNC:5123	MGI:96193	-	-	yes	no	no	no	NA
HOXC12	HGNC:5124	MGI:96194	-	-	yes	no	no	no	NA
HOXC13	HGNC:5125	MGI:99560	OMIM:614931|ORPHA:69084	Ectodermal Dysplasia 9, Hair/Nail Type|Pure Hair And Nail Ectodermal Dysplasia	no	no	no	no	NA
HOXC4	HGNC:5126	MGI:96195	-	-	no	no	no	no	NA
HOXC5	HGNC:5127	MGI:96196	-	-	no	no	no	no	NA
HOXC6	HGNC:5128	MGI:96197	-	-	no	no	no	no	NA
HOXC8	HGNC:5129	MGI:96198	-	-	no	no	no	no	NA
HOXC9	HGNC:5130	MGI:96199	-	-	no	no	no	no	NA
